GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
calculator-linan-muntham,com.example.exam.final_project,BasicCalculator,32,29,3,1,11,7,4,5,2,5
calculator-linan-muntham,com.example.exam.final_project,MainFrame.new ActionListener() {...},50,0,0,0,8,0,2,0,2,0
calculator-linan-muntham,com.example.exam.final_project,MainFrame.new ActionListener() {...},48,0,0,0,8,0,2,0,2,0
calculator-linan-muntham,com.example.exam.final_project,MainFrame.new ActionListener() {...},34,0,0,0,6,0,2,0,2,0
calculator-linan-muntham,com.example.exam.final_project,MainFrame.new ActionListener() {...},50,0,0,0,8,0,2,0,2,0
calculator-linan-muntham,com.example.exam.final_project,MainFrame.new ActionListener() {...},42,0,0,0,7,0,2,0,2,0
calculator-linan-muntham,com.example.exam.final_project,MainFrame.new ActionListener() {...},42,0,0,0,7,0,2,0,2,0
calculator-linan-muntham,com.example.exam.final_project,AdvancedCalculator,16,19,0,0,5,6,4,5,4,5
calculator-linan-muntham,com.example.exam.final_project,MainFrame.new ActionListener() {...},50,0,0,0,8,0,2,0,2,0
calculator-linan-muntham,com.example.exam.final_project,MainFrame.new ActionListener() {...},50,0,0,0,8,0,2,0,2,0
calculator-linan-muntham,com.example.exam.final_project,MainFrame.new ActionListener() {...},50,0,0,0,8,0,2,0,2,0
calculator-linan-muntham,com.example.exam.final_project,MainFrame.new ActionListener() {...},50,0,0,0,8,0,2,0,2,0
calculator-linan-muntham,com.example.exam.final_project,MainFrame.new Runnable() {...},16,0,0,0,7,0,2,0,2,0
calculator-linan-muntham,com.example.exam.final_project,MainFrame,400,0,0,0,74,0,3,0,3,0
